url,name,name_alt,header,rooms,facilities,badge,rating_n_reviews,price,price_alt,superhost,sp_url,location,specialties_1,specialties_2,price_per_night,refundables,prices_1,prices_2,listing_ratings,host_joined,host_feats,lang_responses,house_rules,amenities
/rooms/44285852?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,*****Camping Aufenfeld Zillerglückhütte Aschau iZ,Tiny house in Distelberg,8 guests · 3 bedrooms · 8 beds · 0 baths,Kitchen,empty,5.0 (6),$33,$30,SUPERHOST,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Distelberg, Tirol, Austria",Entire home**__**Enhanced Clean**__**Self check-in**__**Luise is a Superhost**__**House rules,,€23 €21/ night,Non-refundable · €173 total**__**Refundable · €192 total,,Total€173,5.0**__**4.7**__**5.0**__**5.0**__**4.8**__**4.8,Joined in August 2017,6 Reviews**__**Identity verified**__**Superhost,Response rate: 100%**__**Response time: within an hour,"󰀥Check-in:  2:00 PM - 9:00 PM**__**󰀥Checkout: 9:00 AM**__**󰄄Self check-in with lockbox**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠁Carbon monoxide alarm**__**󱠁Smoke alarm**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100","{""amenity_Bathroom"": [""Hair dryer""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Dryer"", ""Hangers"", ""Washer""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""High chair""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Lake access"", ""Ski-in/Ski-out"", ""Waterfront"", ""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Pool"", ""Free parking on premises"", ""Gym"", ""Free street parking""], ""amenity_Services"": [""Long term stays allowed"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}"
/rooms/18324104?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Ferienhaus Traudl,Entire house in Finkenberg,8 guests · 4 bedrooms · 8 beds · 1.5 baths,Kitchen,empty,4.96 (48),empty,$211,SUPERHOST,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Finkenberg, Tirol, Austria",Entire home**__**Enhanced Clean**__**Self check-in**__**Cancellation policy**__**House rules,,€140/ night,,€140 x 7 nightsView price breakdown€980**__**Cleaning feeView price breakdown€80,"Service feeView price breakdown€180**__**Total€1,240",5.0**__**4.9**__**5.0**__**4.9**__**5.0**__**4.9,Joined in April 2017,48 Reviews**__**Superhost,Response rate: 100%**__**Response time: within a day,󰀥Checkout: 9:00 AM**__**󰄄Self check-in with lockbox**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Bed linens"", ""Iron"", ""Washer"", ""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Crib"", ""High chair"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Kitchen"", ""Dishwasher"", ""Stove"", ""Coffee maker"", ""Oven""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony"", ""Garden or backyard"", ""BBQ grill""], ""amenity_Parking and facilities"": [""Free street parking"", ""Free parking on premises""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}"
/rooms/41768061?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Appartements Austria,Entire apartment in Finkenberg,5 guests · 2 bedrooms · 5 beds · 2 baths,Kitchen,empty,5.0 (6),empty,$192,empty,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Finkenberg, Tirol, Austria",,Entire home**__**Enhanced Clean**__**Great location**__**Cancellation policy**__**House rules,€121/ night,,€121 x 7 nightsView price breakdown€844**__**Cleaning feeView price breakdown€120,"Service feeView price breakdown€163**__**Total€1,127",4.8**__**5.0**__**4.7**__**5.0**__**5.0**__**5.0,Joined in January 2020,6 Reviews,"Languages: English, Deutsch**__**Response rate: 100%**__**Response time: within a few hours",󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 11:00 AM**__**󱤄Not suitable for infants (under 2 years)**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠃No carbon monoxide alarm**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Washer"", ""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm""]}"
/rooms/22134628?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Mountain chalet,Entire apartment in Mayrhofen,6 guests · 3 bedrooms · 4 beds · 1 bath,Kitchen,New lower price,4.83 (116),$273,$198,SUPERHOST,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Mayrhofen, Tirol, Austria",Entire home**__**Enhanced Clean**__**Timea is a Superhost**__**Free cancellation until 1:00 PM on Mar 15**__**House rules,,€205 €141/ night,,"€205 x 7 nightsView price breakdown€1,435**__**31% weekly price discountView price breakdown-€445","Service feeView price breakdown€168**__**Total€1,158",4.9**__**4.8**__**5.0**__**4.8**__**5.0**__**4.8,Joined in April 2017,184 Reviews**__**Identity verified**__**Superhost,Response rate: 100%**__**Response time: within an hour,󰀥Check-in:  After 1:00 PM**__**󰀥Checkout: 12:00 PM**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󱤇Smoking is allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,{}
/rooms/47979100?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Chalet Hoog Hout,Entire chalet in Hippach-Schwendberg,6 guests · 3 bedrooms · 3 beds · 1.5 baths,Hosted by a business · Kitchen,empty,empty,empty,$166,empty,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Hippach-Schwendberg, Tirol, Austria",Entire home**__**Enhanced Clean**__**Wifi**__**Cancellation policy**__**House rules,,€139/ night,,€139 x 7 nightsView price breakdown€971,Service feeView price breakdown€0**__**Total€971,,Joined in August 2020,25 Reviews**__**Identity verified,"Languages: Nederlands, English, Deutsch**__**Response rate: 97%**__**Response time: within an hour",󰀥Check-in:  4:00 PM - 6:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Dryer"", ""Washer""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""High chair"", ""Crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Kitchen"", ""Oven"", ""Dishwasher""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Smoke alarm"", ""Unavailable: Essentials"", ""Unavailable: Private entrance"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}"
/rooms/15891438?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Neues Apartment Aschenwald,Entire apartment in Ramsau im Zillertal,8 guests · 3 bedrooms · 8 beds · 3 baths,Kitchen,empty,empty,empty,$243,empty,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Ramsau im Zillertal, Tirol, Austria",,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,€160/ night,,"€160 x 7 nightsView price breakdown€1,120**__**Cleaning feeView price breakdown€100","Service feeView price breakdown€207**__**Total€1,427",,Joined in November 2016,,Response rate: 100%**__**Response time: within a day,"󰀥Check-in:  4:00 PM - 8:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more**__**󰐂Security Deposit - if you damage the home, you may be charged up to €350","{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Bed linens""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""High chair"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Stove"", ""Dishes and silverware"", ""Cooking basics""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: Essentials"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm""]}"
/rooms/48188906?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,4 star holiday home in Hippach im Zillertal,Entire apartment in Hippach-Schwendberg,4 guests · 3 bedrooms · 3 beds · 2 baths,Hosted by a business · Kitchen,empty,empty,empty,$84,empty,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Hippach-Schwendberg, Tirol, Austria",Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€70/ night,,€63 x 7 nightsView price breakdown€439**__**Service feeView price breakdown€0,Cleaning feeView price breakdown€50**__**Total€489,,Joined in January 2021,Identity verified,"Languages: Nederlands, English, Français, Deutsch**__**Response rate: 88%**__**Response time: within an hour",󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Coffee maker"", ""Microwave"", ""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Wifi"", ""Unavailable: Essentials"", ""Unavailable: Air conditioning"", ""Unavailable: Hair dryer"", ""Unavailable: Smoke alarm"", ""Unavailable: Washer""]}"
/rooms/34631413?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Villa Anna Zillertal 3,Entire apartment in Zell am Ziller,6 guests · 2 bedrooms · 4 beds · 1.5 baths,Kitchen,empty,4.86 (14),empty,$95,SUPERHOST,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Zell am Ziller, Tyrol, Austria",,Entire home**__**Enhanced Clean**__**Anna is a Superhost**__**Cancellation policy**__**House rules,€62/ night,,€62 x 7 nightsView price breakdown€434**__**Cleaning feeView price breakdown€40,Service feeView price breakdown€80**__**Total€554,4.9**__**5.0**__**5.0**__**4.6**__**5.0**__**4.9,Joined in April 2018,139 Reviews**__**Identity verified**__**Superhost,Response rate: 100%**__**Response time: within an hour,󰀥Check-in:  4:00 PM - 9:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤄Not suitable for infants (under 2 years)**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Essentials"", ""Bed linens"", ""Extra pillows and blankets""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Oven"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Stove"", ""Dishes and silverware"", ""Cooking basics""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Garden or backyard"", ""Patio or balcony""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Long term stays allowed"", ""Host greets you"", ""Cleaning before checkout""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: TV"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo""]}"
/rooms/21534178?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Steindlhof Apartment Marlena,Entire apartment in Schwendau,4 guests · 2 bedrooms · 4 beds · 1 bath,Kitchen,empty,4.91 (55),empty,$139,SUPERHOST,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Schwendau, Tirol, Austria",,Entire home**__**Enhanced Clean**__**Michaela is a Superhost**__**Free cancellation until 4:00 PM on Mar 11**__**House rules,€94/ night,,€94 x 7 nightsView price breakdown€658**__**Cleaning feeView price breakdown€40,Service feeView price breakdown€118**__**Total€816,5.0**__**4.9**__**5.0**__**4.8**__**5.0**__**4.9,Joined in October 2017,55 Reviews**__**Superhost,Response rate: 100%**__**Response time: within a few hours,"󰀥Check-in:  4:00 PM - 9:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100","{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib"", ""High chair""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Coffee maker""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Host greets you"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Private entrance"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm"", ""Unavailable: Washer""]}"
/rooms/13584823?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,empty,Ferienwohnung Nieslerhof,Entire house in Mayrhofen,8 guests · 3 bedrooms · 0 beds · 2.5 baths,Kitchen,empty,4.93 (15),empty,$173,empty,https://www.airbnb.com/s/Mayrhofen--Austria/homes?query=Mayrhofen%2C%20Austria&checkin=2021-03-16&checkout=2021-03-23&adults=4&items_offset=0,"Mayrhofen, Tirol, Austria",,Entire home**__**Enhanced Clean**__**Wifi**__**Free cancellation until 3:00 PM on Mar 15**__**House rules,€117/ night,,€120 x 7 nightsView price breakdown€840**__**3% weekly price discountView price breakdown-€25**__**Cleaning feeView price breakdown€50,"Service feeView price breakdown€147**__**Total€1,012",4.9**__**4.9**__**5.0**__**4.9**__**5.0**__**4.9,Joined in June 2016,45 Reviews,Response rate: 20%**__**Response time: a few days or more,󰀥Check-in:  Flexible**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water"", ""Bathtub""], ""amenity_Bedroom and laundry"": [""Washer"", ""Essentials"", ""Hangers"", ""Dryer""], ""amenity_Entertainment"": [""Cable TV"", ""TV""], ""amenity_Family"": [""High chair"", ""Baby bath"", ""Crib"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Oven"", ""Coffee maker"", ""Baking sheet"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Cooking basics"", ""Refrigerator"", ""Kitchen""], ""amenity_Location features"": [""Private entrance"", ""Ski-in/Ski-out""], ""amenity_Outdoor"": [""Patio or balcony"", ""BBQ grill"", ""Garden or backyard""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed"", ""Luggage dropoff allowed"", ""Host greets you""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm""]}"
