url,header,location,query,name,price_USD,cleaning_fee_EUR,service_fee_EUR,price_total_EUR,cnt_guests,cnt_bedrooms,cnt_beds,cnt_baths,listing_rating,listing_reviews,is_refundable,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check-in,rating_value,host_joined_years_ago,Identity_verified,house_rules_pets,house_rules_smoking,house_rules_parties,is_superhost,facility_Kitchen,facility_Wifi,facility_empty,facility_Free parking,facility_Dishwasher,facility_Hosted by a business,facility_Washer,specialty_Enhanced Clean,specialty_Kitchen,specialty_Clean and tidy,specialty_Pets allowed,specialty_Entire home,specialty_Experienced host,specialty_Pool,specialty_Self check-in,specialty_Outstanding hospitality,specialty_Highly rated host,specialty_Great communication,specialty_Great location,specialty_Free cancellation,specialty_Great check-in experience,specialty_Wifi,response_rate,response_time,lang_cnt,language_Čeština,language_Polski,language_Русский,language_Nederlands,language_Italiano,language_العربية,language_Ελληνικά,language_Deutsch,language_Norsk,language_English,language_Português,language_Español,language_Français,amenity_Not included__Unavailable: Air conditioning,amenity_Kitchen and dining__Kitchen,amenity_Not included__Unavailable: Carbon monoxide alarm,amenity_Heating and cooling__Heating,amenity_Entertainment__TV,amenity_Internet and office__Wifi,amenity_Bedroom and laundry__Hangers,amenity_Not included__Unavailable: Shampoo,amenity_Bedroom and laundry__Essentials,amenity_Parking and facilities__Free parking on premises,amenity_Kitchen and dining__Coffee maker,amenity_Location features__Private entrance,amenity_Bathroom__Hair dryer,amenity_Internet and office__Dedicated workspace,amenity_Home safety__Unavailable: Security cameras on property,amenity_Kitchen and dining__Oven,amenity_Not included__Unavailable: Smoke alarm,amenity_Kitchen and dining__Refrigerator,amenity_Kitchen and dining__Dishwasher,amenity_Kitchen and dining__Dishes and silverware,amenity_Not included__Unavailable: Washer,amenity_Bathroom__Hot water,amenity_Outdoor__Patio or balcony,amenity_Kitchen and dining__Cooking basics,amenity_Home safety__Fire extinguisher,amenity_Bedroom and laundry__Washer,amenity_Home safety__Smoke alarm,amenity_Services__Long term stays allowed,amenity_Kitchen and dining__Stove,amenity_Kitchen and dining__Microwave,amenity_Not included__Unavailable: Private entrance,amenity_Not included__Unavailable: Hair dryer,amenity_Bedroom and laundry__Bed linens,amenity_Parking and facilities__Free street parking,amenity_Bedroom and laundry__Dryer,amenity_Bedroom and laundry__Iron,amenity_Outdoor__Garden or backyard,amenity_Family__High chair,amenity_Entertainment__Cable TV,amenity_Family__Crib,amenity_Not included__Unavailable: Essentials,amenity_Services__Luggage dropoff allowed,amenity_Home safety__First aid kit,amenity_Bathroom__Bathtub,amenity_Bathroom__Shampoo,amenity_Heating and cooling__Indoor fireplace,amenity_Outdoor__BBQ grill,amenity_Family__Pack ’n Play/travel crib,amenity_Services__Lockbox,amenity_Bedroom and laundry__Extra pillows and blankets,amenity_Family__Children’s books and toys,amenity_Services__Host greets you,amenity_Bedroom and laundry__Room-darkening shades,amenity_Kitchen and dining__Baking sheet
/rooms/44285852?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Tiny house in Distelberg,"Distelberg, Tirol, Austria",Mayrhofen_AT,*****Camping Aufenfeld Zillerglückhütte Aschau iZ,$30,empty,empty,€173,8,3,8,0,5.0,6.0,1,5.0,4.7,5.0,5.0,4.8,4.8,4.0,1,yes,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,100,within an hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
/rooms/18324104?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire house in Finkenberg,"Finkenberg, Tirol, Austria",Mayrhofen_AT,Ferienhaus Traudl,$211,empty,€180,"€1,240",8,4,8,1.5,4.96,48.0,0,5.0,4.9,5.0,4.9,5.0,4.9,4.0,0,yes,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,100,within a day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0
/rooms/41768061?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Finkenberg,"Finkenberg, Tirol, Austria",Mayrhofen_AT,Appartements Austria,$192,empty,€163,"€1,127",5,2,5,2,5.0,6.0,0,4.8,5.0,4.7,5.0,5.0,5.0,1.0,0,no,no,no,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,100,within a few hours,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/22134628?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Mayrhofen,"Mayrhofen, Tirol, Austria",Mayrhofen_AT,Mountain chalet,$198,empty,€168,"€1,158",6,3,4,1,4.83,116.0,0,4.9,4.8,5.0,4.8,5.0,4.8,4.0,1,yes,yes,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,within an hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/47979100?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire chalet in Hippach-Schwendberg,"Hippach-Schwendberg, Tirol, Austria",Mayrhofen_AT,Chalet Hoog Hout,$166,empty,€0,€971,6,3,3,1.5,,,0,,,,,,,1.0,1,no,no,no,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,97,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/15891438?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Ramsau im Zillertal,"Ramsau im Zillertal, Tirol, Austria",Mayrhofen_AT,Neues Apartment Aschenwald,$243,empty,€207,"€1,427",8,3,8,3,,,0,,,,,,,5.0,0,no,no,no,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,within a day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
/rooms/48188906?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Hippach-Schwendberg,"Hippach-Schwendberg, Tirol, Austria",Mayrhofen_AT,4 star holiday home in Hippach im Zillertal,$84,€50,empty,€489,4,3,3,2,,,0,,,,,,,0.0,1,yes,no,NA,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
/rooms/34631413?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Zell am Ziller,"Zell am Ziller, Tyrol, Austria",Mayrhofen_AT,Villa Anna Zillertal 3,$95,empty,€80,€554,6,2,4,1.5,4.86,14.0,0,4.9,5.0,5.0,4.6,5.0,4.9,3.0,1,yes,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,within an hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
/rooms/21534178?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Schwendau,"Schwendau, Tirol, Austria",Mayrhofen_AT,Steindlhof Apartment Marlena,$139,empty,€118,€816,4,2,4,1,4.91,55.0,0,5.0,4.9,5.0,4.8,5.0,4.9,4.0,0,no,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,within a few hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
/rooms/13584823?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire house in Mayrhofen,"Mayrhofen, Tirol, Austria",Mayrhofen_AT,Ferienwohnung Nieslerhof,$173,empty,€147,"€1,012",8,3,0,2.5,4.93,15.0,0,4.9,4.9,5.0,4.9,5.0,4.9,5.0,0,no,no,no,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,20,a few days or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1
